tool,backend,epsilon,eps_frac_of_medgap,attack_success_rate
ragorigin,llama3.2-3b,2.825119175304157,2.05,0.92
ragorigin,llama3.2-3b,2.8940245210432827,2.1,0.98
ragorigin,llama3.2-3b,2.9629298667824084,2.15,1.0
ragorigin,llama3.2-3b,3.031835212521534,2.2,1.0
ragorigin,llama3.2-3b,3.10074055826066,2.25,1.0
ragorigin,llama3.2-3b,3.1696459039997857,2.3,1.0
ragorigin,llama3.2-3b,3.2385512497389115,2.35,1.0
ragorigin,llama3.2-3b,3.3074565954780377,2.4000000000000004,1.0
ragorigin,llama3.2-3b,3.3763619412171635,2.45,1.0
ragorigin,llama3.2-3b,3.4452672869562893,2.5000000000000004,1.0
ragorigin,llama3.2-3b,3.514172632695415,2.5500000000000003,1.0
ragorigin,llama3.2-3b,3.583077978434541,2.6,1.0
ragorigin,llama3.2-3b,3.6519833241736666,2.6500000000000004,1.0
ragorigin,llama3.2-3b,3.7208886699127923,2.7,1.0
ragorigin,llama3.2-3b,3.789794015651918,2.75,1.0
ragorigin,llama3.2-3b,3.858699361391044,2.8000000000000003,1.0
ragorigin,llama3.2-3b,3.9276047071301696,2.85,1.0
ragorigin,llama3.2-3b,3.9965100528692954,2.9000000000000004,1.0
ragorigin,llama3.2-3b,4.065415398608421,2.9499999999999997,1.0
ragorigin,llama3.2-3b,4.134320744347547,3.0,1.0
